Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,loudness,liveness,valence,tempo,track_genre,popularity_level,duration_min,duration_sec,minutes,seconds,duration_mmss,energy_level
57463,6gK2gR0uyFFYJ5sKH4zyjx,Tanmaya Bhatnagar,Kahaani,Kahaani,49,215113,False,0.703,0.327,-13.647,0.1,0.274,132.006,indie,Medium,3.5852166666666667,215,3,35,3:35,Low
94138,3X4sErWRnQCmhhZMGv6r51,Rxseboy;Powfu;Mishaal,when we were 16,when we were 16,62,195745,True,0.764,0.296,-14.544,0.168,0.231,103.075,sad,Medium,3.2624166666666667,195,3,15,3:15,Low
60836,3JgQr6iul6ixTaVr8CCfNN,Popcaan,Empire Universe,Wine,20,169773,False,0.623,0.37,-11.849,0.288,0.607,96.445,j-dance,Low,2.82955,169,2,49,2:49,Low
29650,0rch4LXVKv8auzUU8TQh4x,Borgore;Miley Cyrus,#NEWGOREORDER,Decisions (feat. Miley Cyrus),49,198857,True,0.565,0.934,-1.576,0.295,0.634,139.941,dubstep,Medium,3.3142833333333335,198,3,18,3:18,High
100261,556d4gCzMVcUAjKFdm0drc,Tipe-X,Seven,Jantungku,38,269506,False,0.602,0.575,-4.874,0.337,0.33,109.904,ska,Low,4.491766666666667,269,4,29,4:29,Medium
58337,3ytTm0iia20PeReYx4ynQV,VNV Nation,"Of Faith, Power and Glory",Defiant,25,225213,False,0.535,0.911,-6.568,0.428,0.794,142.025,industrial,Low,3.75355,225,3,45,3:45,High
47068,1f9jv3jIHqwZhVW7NMAgYN,Pantera,Groove Metal Roots & Branches,Mouth for War,1,236720,False,0.361,0.97,-5.69,0.039,0.561,156.96,hard-rock,Low,3.945333333333333,236,3,56,3:56,High
93649,5GrzvSKmcqTUsRxwkQznEq,Oleg Pogudin,Избранное I (Live),"У зори –то, у зореньки - Live",0,205800,False,0.265,0.496,-10.317,0.706,0.156,175.223,romance,Low,3.43,205,3,25,3:25,Medium
35526,4yLzKvat3yF2kceREsBJyD,Robério e Seus Teclados,Maridão Dvd,O Pedreiro e a Cinderela,40,176347,False,0.689,0.6,-10.69,0.112,0.969,164.091,forro,Low,2.9391166666666666,176,2,56,2:56,Medium
41731,2ffhTgCiJULnGYndgY6oAu,Fields Of The Nephilim,The Nephilim,Shiva,21,290266,False,0.413,0.573,-10.188,0.138,0.349,97.682,goth,Low,4.837766666666667,290,4,50,4:50,Medium
92045,6QxjRIvCx9Xs4XwKBHKTbh,Brenda Lee,Country Christmas Time,Rockin' Around the Christmas Tree - Re-Recorded Version,0,126146,False,0.682,0.641,-8.904,0.224,0.824,141.003,rockabilly,Low,2.1024333333333334,126,2,6,2:06,Medium
71441,6bzWr3EpSEolVwlbLk58il,Jane's Addiction,Maintain Your Mojo,Mountain Song,0,242720,False,0.218,0.932,-6.803,0.277,0.315,167.718,metal,Low,4.045333333333334,242,4,2,4:02,High
53545,3hq2FhAgexnwM7G0pgUAY9,Kungs,EDM Gaming Music Autumn/Winter 2022,Never Going Home,0,169946,False,0.839,0.842,-4.703,0.0548,0.96,122.028,house,Low,2.8324333333333334,169,2,49,2:49,High
36026,41C5SxPDN5z6GdvbtWRAv5,Soolking;Boro Boro,HOT PARTY BACK TO SCHOOL 2022,Suavemente,2,157714,True,0.854,0.682,-5.212,0.0569,0.507,140.019,french,Low,2.6285666666666665,157,2,37,2:37,Medium
103257,3kdlVcMVsSkbsUy8eQcBjI,Ark Patrol;Veronika Redd,Let Go,Let Go,71,248056,False,0.47,0.436,-10.228,0.294,0.0389,81.972,soul,High,4.134266666666667,248,4,8,4:08,Medium
112431,2fEGPi5nyFvuD9v2Rck9hK,Stap,Yazı,Nasıl Bilirdiniz,41,252132,True,0.783,0.421,-12.303,0.0819,0.477,143.021,turkish,Medium,4.2022,252,4,12,4:12,Medium
110086,1lXyxleB814ehGUXzsWNXu,Armin van Buuren;Maia Wright,One More Time,One More Time,69,148095,False,0.579,0.761,-5.547,0.279,0.287,126.165,trance,Medium,2.46825,148,2,28,2:28,High
4927,1Q5jFp1g2Ns4gBsHRpcqhu,Bethel Music;Jenn Johnson;Michaela Gentile,Simple,In The Ordinary - Spontaneous,50,174971,False,0.49,0.231,-13.968,0.0859,0.0904,103.958,ambient,Medium,2.916183333333333,174,2,54,2:54,Low
30783,4t4vkPr7LWZXxrkofl8fvg,Rudimental;MORGAN;Digga D;TIKE,2Step - Pop R'n'B,Be the One,0,185530,False,0.846,0.726,-3.376,0.0304,0.79,131.974,edm,Low,3.0921666666666665,185,3,5,3:05,High
65069,4JzCFEc3O2UEdjKzevvFH5,BTS,Proof,For Youth,78,264480,False,0.633,0.511,-5.665,0.248,0.29,116.855,k-pop,High,4.408,264,4,24,4:24,Medium
32889,3ZzhV6JIDKWvWR7wiKWD0C,Air,Moon Safari,La femme d'argent,61,426614,False,0.517,0.737,-8.189,0.392,0.558,79.82,electronic,Medium,7.110233333333333,426,7,6,7:06,High
72591,6i262UpOYbVOFh88NU0SZc,Callejon,Ich komme niemals an,Mary Shelley,28,259428,False,0.33,0.93,-4.513,0.0728,0.0549,148.251,metalcore,Low,4.3238,259,4,19,4:19,High
109223,5BeV0OiC4VQ3TG7ZlNHHsz,Gammer;Naeleck;Hige Driver,Virtual Gaming (Gammer Remix),Virtual Gaming - Gammer Remix,55,158158,False,0.496,0.98,-3.434,0.353,0.391,150.008,techno,Medium,2.6359666666666666,158,2,38,2:38,High
30576,2pFL6kVGR4PIuPlL2AuAWk,Rival;Cadmium;Harley Bird,Seasons,Seasons,58,248275,False,0.542,0.676,-7.363,0.101,0.48,144.907,edm,Medium,4.1379166666666665,248,4,8,4:08,Medium
72055,54otdw8MmYNz2ewGHzmaTP,The Plot In You,FEEL NOTHING (RESET),FEEL NOTHING - RESET,55,220688,True,0.34,0.887,-4.54,0.0622,0.215,144.081,metalcore,Medium,3.6781333333333333,220,3,40,3:40,High
103522,2WxsyR3WLCdDhWIMJeG12y,Faith Evans,Modern R&B Love,Alone in This World,0,233400,False,0.625,0.807,-5.959,0.278,0.617,92.037,soul,Low,3.89,233,3,53,3:53,High
59321,0nSXZcdj8lPLwAHP5D7xFo,Parsa Shomali,Girih: Iranian Sound Artists,Howl,0,254000,False,0.258,0.247,-17.379,0.608,0.039,120.3,iranian,Low,4.233333333333333,254,4,14,4:14,Low
12035,3PrIhODothki0YvYW3qCOT,Leo Ku,遊戲 基,必殺技,55,232012,False,0.625,0.507,-8.294,0.0892,0.373,136.933,cantopop,Medium,3.8668666666666667,232,3,52,3:52,Medium
12332,6plpGZ7TRQzo8BTVGdBZ4d,Jacky Cheung,等你等到我心痛精選,還是覺得你最好,45,322306,False,0.497,0.294,-13.787,0.1,0.308,173.993,cantopop,Medium,5.371766666666667,322,5,22,5:22,Low
395,0HL3y3bsKSARBSP0qaImwb,Brandi Carlile,Onward (Original Motion Picture Soundtrack),Carried Me With You,62,213732,False,0.639,0.666,-7.775,0.111,0.372,98.384,acoustic,Medium,3.5622,213,3,33,3:33,Medium
96453,5R2ZDKN9EOQxg2ApKCfTYh,Gal Costa;Zeca Baleiro,Maxximum - Gal Costa,Vapor Barato (feat. Zeca Baleiro),40,411733,False,0.537,0.403,-10.054,0.966,0.237,123.647,samba,Low,6.862216666666667,411,6,51,6:51,Medium
17644,1GzE0fPtJ4kWRz5vqJ2Pwb,Tiger Trap,Tiger Trap,Tore A Hole,18,118173,False,0.4,0.71,-8.662,0.0856,0.897,167.973,club,Low,1.96955,118,1,58,1:58,High
73329,16AWPFcIfmbrYvl4hjOVHD,Amelie Lens;Farrago,Weight Of The Land,Purge,42,433218,False,0.744,0.593,-11.791,0.0616,0.0694,125.996,minimal-techno,Medium,7.2203,433,7,13,7:13,Medium
91086,03pixFplMU4GlGanyGESCJ,OneRepublic,CHRISTMAS TOP HITS 2022,Christmas Without You,0,197146,False,0.262,0.677,-5.645,0.205,0.365,207.478,rock,Low,3.2857666666666665,197,3,17,3:17,Medium
8297,6AJrjScRxKAzfImtWbCIaM,Thin Lizzy,Rock Workout 2023,The Boys Are Back In Town,0,263146,False,0.457,0.87,-4.906,0.117,0.694,81.095,blues,Low,4.385766666666667,263,4,23,4:23,High
46301,4BTVMYO9V5au4AgPgguAG0,Bodylotion,Happy Hardcore Top 100,Happy Is Voor Hobo's,21,185733,False,0.74,0.976,-8.183,0.716,0.147,99.997,happy,Low,3.09555,185,3,5,3:05,High
49205,56ghsgSC9Y0MJ1yKnLFixe,Psyko Punkz;Coone;KELTEK,Arriba,Arriba,47,191372,False,0.521,0.832,-5.321,0.121,0.337,152.772,hardstyle,Medium,3.1895333333333333,191,3,11,3:11,High
10768,2LScaxwPQdvWkdLZ4QmA5t,DJ Icey,Trackotron 2,So Much,12,212347,False,0.772,0.893,-4.321,0.102,0.642,128.047,breakbeat,Low,3.5391166666666667,212,3,32,3:32,High
18296,1WzFJkpI1M4P6jc6JCoExt,Dan Cummins,Get Outta Here; Devil!,Getting My Zapples Riled,24,208741,True,0.611,0.729,-12.856,0.712,0.522,83.052,comedy,Low,3.479016666666667,208,3,28,3:28,High
