title,year,imdbID,Type,poster_url,search_term,fetched_at
Sherlock Holmes,2009,tt0988045,movie,https://m.media-amazon.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Sherlock Holmes: A Game of Shadows,2011,tt1515091,movie,https://m.media-amazon.com/images/M/MV5BMTQwMzQ5Njk1MF5BMl5BanBnXkFtZTcwNjIxNzIxNw@@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Adventures of Sherlock Holmes,1984,tt0086661,series,https://m.media-amazon.com/images/M/MV5BNjg3NjY5NGUtZTlkNS00NGE2LWJhMTAtZTlkZDgzZDBhOWY1XkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Young Sherlock Holmes,1985,tt0090357,movie,https://m.media-amazon.com/images/M/MV5BMWFjYjdkZjMtMjA5NS00ZDIzLWExMjAtYjA3MGYwM2QyYmU0XkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Private Life of Sherlock Holmes,1970,tt0066249,movie,https://m.media-amazon.com/images/M/MV5BNDNiMzI5MWMtZDhlMy00Yzg5LWI1NDAtZDE0NGRmOTg5NmFjXkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Return of Sherlock Holmes,1986,tt0090509,series,https://m.media-amazon.com/images/M/MV5BODM1NTgxOTMtM2VmZi00M2FkLWJiYWUtMjc5Yjk1MzY5ZTYxXkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Memoirs of Sherlock Holmes,1994,tt0108855,series,https://m.media-amazon.com/images/M/MV5BN2UzYWQyZmEtZGUyZS00NDdhLTg2M2EtMTdhZDM5NjE2NTBkXkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Adventures of Sherlock Holmes,1939,tt0031022,movie,https://m.media-amazon.com/images/M/MV5BZGY3YWE5MzgtZmI1OS00NGY5LWE2YTQtYjdhZWI3OTAzNjZhXkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Adventure of Sherlock Holmes' Smarter Brother,1975,tt0072608,movie,https://m.media-amazon.com/images/M/MV5BNjFlMWYwMmEtMzdiZi00MWVlLTliNzktOTU1MGQwZDBmY2IyXkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Sherlock Holmes and the Secret Weapon,1942,tt0035317,movie,https://m.media-amazon.com/images/M/MV5BYTM1ZWFkYzYtOGRlNy00NGE2LWFmZGUtZDYyMDE1ZTNiYjVhXkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
